Walk #0:
Target Distance: 50, Step Size: 2
837: (x, y) = (2.81286, -5.48944)
838: (x, y) = (2.68489, -6.48122)
839: (x, y) = (2.26875, -5.57193)
840: (x, y) = (2.77132, -6.43646)
841: (x, y) = (3.48311, -7.13885)
842: (x, y) = (4.36698, -6.6711)
843: (x, y) = (3.84163, -5.82022)
844: (x, y) = (4.40406, -4.99337)
845: (x, y) = (5.32581, -5.38115)
846: (x, y) = (4.39092, -5.73609)
847: (x, y) = (5.18942, -6.33809)
848: (x, y) = (6.18844, -6.3823)
849: (x, y) = (5.22583, -6.1114)
850: (x, y) = (5.87275, -5.34884)
851: (x, y) = (6.45696, -6.16044)
852: (x, y) = (5.99313, -5.27452)
853: (x, y) = (6.28524, -4.31813)
854: (x, y) = (5.30414, -4.51161)
855: (x, y) = (5.81431, -3.65154)
856: (x, y) = (6.73607, -4.03932)
857: (x, y) = (7.26139, -3.18841)
858: (x, y) = (8.03245, -2.55165)
859: (x, y) = (8.07227, -3.55086)
860: (x, y) = (7.50254, -4.37269)
861: (x, y) = (6.64934, -4.89427)
862: (x, y) = (7.50713, -4.38027)
863: (x, y) = (6.54947, -4.66817)
864: (x, y) = (5.72016, -5.22696)
865: (x, y) = (6.70127, -5.4204)
866: (x, y) = (7.61954, -5.02445)
867: (x, y) = (6.6978, -5.41226)
868: (x, y) = (5.70546, -5.28869)
869: (x, y) = (5.58625, -4.29582)
870: (x, y) = (4.58817, -4.35774)
871: (x, y) = (5.14329, -5.18951)
872: (x, y) = (4.25532, -5.64942)
873: (x, y) = (3.32686, -6.02085)
874: (x, y) = (3.53334, -6.9993)
875: (x, y) = (3.4582, -7.99647)
876: (x, y) = (3.01809, -8.89441)
877: (x, y) = (2.02126, -8.97399)
878: (x, y) = (3.01125, -8.83284)
879: (x, y) = (2.03562, -8.61342)
880: (x, y) = (2.81783, -7.9904)
881: (x, y) = (3.77025, -8.29519)
882: (x, y) = (3.27535, -7.42624)
883: (x, y) = (4.03502, -6.77592)
884: (x, y) = (3.24733, -7.39199)
885: (x, y) = (4.13531, -7.85187)
886: (x, y) = (3.16167, -8.07995)
887: (x, y) = (2.22064, -8.41828)
888: (x, y) = (2.32223, -7.42345)
889: (x, y) = (3.31562, -7.53824)
890: (x, y) = (2.31953, -7.44987)
891: (x, y) = (2.79894, -6.57228)
892: (x, y) = (3.30151, -7.43682)
893: (x, y) = (4.0782, -8.0667)
894: (x, y) = (4.89238, -7.48609)
895: (x, y) = (5.32453, -6.58429)
896: (x, y) = (6.10122, -7.21418)
897: (x, y) = (5.88608, -6.2376)
898: (x, y) = (5.04701, -6.78162)
899: (x, y) = (6.02066, -7.00967)
900: (x, y) = (6.49231, -7.89145)
901: (x, y) = (5.84537, -7.12891)
902: (x, y) = (6.11201, -6.16512)
903: (x, y) = (5.40024, -6.86753)
904: (x, y) = (6.27994, -7.34305)
905: (x, y) = (6.92011, -8.11129)
906: (x, y) = (6.05334, -7.61257)
907: (x, y) = (6.52499, -8.49436)
908: (x, y) = (5.97726, -7.6577)
909: (x, y) = (5.98169, -8.65769)
910: (x, y) = (5.44886, -9.50391)
911: (x, y) = (5.38252, -8.50611)
912: (x, y) = (6.10664, -9.19579)
913: (x, y) = (5.7725, -10.1383)
914: (x, y) = (5.84767, -11.1355)
915: (x, y) = (4.93654, -10.7234)
916: (x, y) = (5.54911, -11.5138)
917: (x, y) = (6.26707, -10.8177)
918: (x, y) = (7.12939, -11.3241)
919: (x, y) = (7.78306, -12.0809)
920: (x, y) = (8.41638, -11.307)
921: (x, y) = (8.67451, -12.2731)
922: (x, y) = (8.27452, -13.1896)
923: (x, y) = (9.06224, -13.8056)
924: (x, y) = (9.7024, -14.5739)
925: (x, y) = (8.70338, -14.6181)
926: (x, y) = (9.38338, -13.8849)
927: (x, y) = (10.1711, -14.5009)
928: (x, y) = (9.65333, -15.3565)
929: (x, y) = (10.5644, -14.9443)
930: (x, y) = (11.3007, -15.6211)
931: (x, y) = (11.7408, -16.519)
932: (x, y) = (11.2927, -15.625)
933: (x, y) = (10.4537, -16.169)
934: (x, y) = (9.61459, -16.713)
935: (x, y) = (10.6144, -16.6953)
936: (x, y) = (10.9652, -17.6318)
937: (x, y) = (11.3894, -18.5374)
938: (x, y) = (12.238, -18.0083)
939: (x, y) = (11.3989, -18.5523)
940: (x, y) = (12.3306, -18.1891)
941: (x, y) = (13.0424, -18.8915)
942: (x, y) = (12.218, -18.3254)
943: (x, y) = (12.8376, -17.5404)
944: (x, y) = (13.4777, -18.3086)
945: (x, y) = (12.4934, -18.4847)
946: (x, y) = (12.4801, -17.4848)
947: (x, y) = (13.3639, -17.0171)
948: (x, y) = (14.3108, -17.3386)
949: (x, y) = (15.2068, -17.7827)
950: (x, y) = (16.1565, -17.4695)
951: (x, y) = (15.9935, -16.4829)
952: (x, y) = (15.1544, -17.0269)
953: (x, y) = (16.0383, -16.5592)
954: (x, y) = (15.4541, -17.3708)
955: (x, y) = (15.046, -16.4578)
956: (x, y) = (15.9984, -16.7626)
957: (x, y) = (16.9634, -17.025)
958: (x, y) = (17.5547, -16.2186)
959: (x, y) = (17.9547, -17.1351)
960: (x, y) = (18.737, -16.5121)
961: (x, y) = (19.7313, -16.4061)
962: (x, y) = (19.1118, -15.6211)
963: (x, y) = (18.1128, -15.6653)
964: (x, y) = (17.3531, -15.0151)
965: (x, y) = (16.6475, -14.3064)
966: (x, y) = (15.9939, -15.0632)
967: (x, y) = (15.0528, -15.4015)
968: (x, y) = (15.6226, -16.2233)
969: (x, y) = (14.8515, -15.5866)
970: (x, y) = (15.2106, -14.6533)
971: (x, y) = (14.362, -14.1242)
972: (x, y) = (15.3595, -14.0535)
973: (x, y) = (15.2667, -15.0491)
974: (x, y) = (14.7339, -15.8954)
975: (x, y) = (13.8264, -15.4752)
976: (x, y) = (12.9596, -14.9765)
977: (x, y) = (11.9636, -14.8881)
978: (x, y) = (10.9762, -15.0468)
979: (x, y) = (11.9537, -15.2575)
980: (x, y) = (11.0783, -14.7743)
981: (x, y) = (10.1286, -14.4611)
982: (x, y) = (10.6388, -13.601)
983: (x, y) = (9.90259, -14.2778)
984: (x, y) = (8.97413, -14.6492)
985: (x, y) = (8.94315, -13.6497)
986: (x, y) = (7.95195, -13.782)
987: (x, y) = (8.24406, -12.8257)
988: (x, y) = (8.1954, -11.8268)
989: (x, y) = (7.9373, -12.793)
990: (x, y) = (8.23789, -13.7467)
991: (x, y) = (8.36588, -14.7385)
992: (x, y) = (7.41347, -15.0433)
993: (x, y) = (6.8221, -14.2369)
994: (x, y) = (6.09191, -13.5537)
995: (x, y) = (6.45095, -12.6203)
996: (x, y) = (7.42657, -12.4009)
997: (x, y) = (8.17465, -13.0645)
998: (x, y) = (8.81482, -13.8327)
999: (x, y) = (9.68157, -13.334)
1000: (x, y) = (8.68349, -13.3959)
1001: (x, y) = (8.79391, -14.3898)
1002: (x, y) = (9.37089, -13.573)
1003: (x, y) = (8.40828, -13.3021)
1004: (x, y) = (8.84842, -14.2001)
1005: (x, y) = (8.83515, -13.2002)
1006: (x, y) = (8.09297, -12.5299)
1007: (x, y) = (9.08824, -12.6271)
1008: (x, y) = (9.06614, -13.6269)
1009: (x, y) = (8.12814, -13.2803)
1010: (x, y) = (7.82757, -14.234)
1011: (x, y) = (8.55775, -13.5508)
1012: (x, y) = (8.24035, -14.4991)
1013: (x, y) = (8.48133, -15.4696)
1014: (x, y) = (7.71025, -14.8328)
1015: (x, y) = (8.50337, -14.2238)
1016: (x, y) = (8.16924, -15.1663)
1017: (x, y) = (9.15201, -14.9815)
1018: (x, y) = (8.34822, -14.3866)
1019: (x, y) = (9.32575, -14.5974)
1020: (x, y) = (10.2096, -14.1296)
1021: (x, y) = (10.8831, -14.8688)
1022: (x, y) = (10.7289, -15.8569)
1023: (x, y) = (10.7245, -16.8569)
1024: (x, y) = (9.91031, -16.2763)
1025: (x, y) = (9.68657, -17.2509)
1026: (x, y) = (9.46283, -18.2256)
1027: (x, y) = (10.199, -18.9023)
1028: (x, y) = (11.087, -19.3622)
1029: (x, y) = (11.0384, -18.3634)
1030: (x, y) = (12.0336, -18.4606)
1031: (x, y) = (11.062, -18.2239)
1032: (x, y) = (11.4128, -19.1603)
1033: (x, y) = (11.747, -20.1029)
1034: (x, y) = (12.2799, -20.9491)
1035: (x, y) = (13.2711, -21.0814)
1036: (x, y) = (12.823, -20.1874)
1037: (x, y) = (12.7832, -21.1866)
1038: (x, y) = (13.3235, -20.3452)
1039: (x, y) = (13.9148, -19.5387)
1040: (x, y) = (12.9499, -19.8011)
1041: (x, y) = (12.4096, -18.9597)
1042: (x, y) = (11.8618, -18.123)
1043: (x, y) = (11.2354, -18.9025)
1044: (x, y) = (10.4369, -19.5045)
1045: (x, y) = (11.4363, -19.4691)
1046: (x, y) = (11.0607, -18.5423)
1047: (x, y) = (12.0551, -18.4363)
1048: (x, y) = (11.1368, -18.0404)
1049: (x, y) = (10.8027, -18.9829)
1050: (x, y) = (9.8066, -18.8945)
1051: (x, y) = (8.92272, -18.4268)
1052: (x, y) = (8.02675, -18.8709)
1053: (x, y) = (8.91875, -18.4189)
1054: (x, y) = (8.88778, -17.4194)
1055: (x, y) = (8.15758, -16.7361)
1056: (x, y) = (7.19992, -17.024)
1057: (x, y) = (7.6161, -17.9333)
1058: (x, y) = (8.56298, -18.2549)
1059: (x, y) = (8.93849, -17.3281)
1060: (x, y) = (8.34003, -18.1293)
1061: (x, y) = (7.7923, -17.2926)
1062: (x, y) = (6.96299, -17.8514)
1063: (x, y) = (7.92065, -18.1393)
1064: (x, y) = (7.58652, -19.0818)
1065: (x, y) = (7.3887, -18.1015)
1066: (x, y) = (8.38835, -18.1281)
1067: (x, y) = (8.01281, -17.2013)
1068: (x, y) = (8.49223, -16.3237)
1069: (x, y) = (7.69375, -16.9257)
1070: (x, y) = (8.6674, -17.1537)
1071: (x, y) = (7.81419, -17.6753)
1072: (x, y) = (8.81228, -17.7372)
1073: (x, y) = (7.81228, -17.7372)
1074: (x, y) = (8.21229, -18.6538)
1075: (x, y) = (9.21131, -18.698)
1076: (x, y) = (10.2025, -18.8303)
1077: (x, y) = (9.40938, -18.2213)
1078: (x, y) = (8.41255, -18.3009)
1079: (x, y) = (8.17159, -19.2714)
1080: (x, y) = (7.59459, -18.4546)
1081: (x, y) = (6.76035, -17.9032)
1082: (x, y) = (5.76915, -18.0356)
1083: (x, y) = (6.76523, -17.9472)
1084: (x, y) = (7.71491, -17.634)
1085: (x, y) = (6.71491, -17.634)
1086: (x, y) = (6.12354, -16.8276)
1087: (x, y) = (5.85687, -15.8638)
1088: (x, y) = (6.6862, -16.4226)
1089: (x, y) = (7.19637, -15.5625)
1090: (x, y) = (6.43669, -14.9122)
1091: (x, y) = (5.62768, -15.5)
1092: (x, y) = (4.65205, -15.2806)
1093: (x, y) = (5.6517, -15.3071)
1094: (x, y) = (5.37653, -16.2685)
1095: (x, y) = (5.39866, -17.2683)
1096: (x, y) = (4.92703, -18.1501)
1097: (x, y) = (4.79027, -17.1595)
1098: (x, y) = (4.18471, -16.3637)
1099: (x, y) = (5.17061, -16.1963)
1100: (x, y) = (4.17061, -16.1964)
1101: (x, y) = (3.73843, -15.2946)
1102: (x, y) = (3.71634, -16.2943)
1103: (x, y) = (2.9232, -15.6853)
1104: (x, y) = (3.91553, -15.5617)
1105: (x, y) = (2.93617, -15.3596)
1106: (x, y) = (3.89634, -15.639)
1107: (x, y) = (4.58283, -16.3661)
1108: (x, y) = (4.31616, -15.4023)
1109: (x, y) = (5.02795, -16.1047)
1110: (x, y) = (4.14826, -16.5803)
1111: (x, y) = (3.31402, -16.0289)
1112: (x, y) = (2.36434, -15.7157)
1113: (x, y) = (1.37095, -15.8305)
1114: (x, y) = (2.36215, -15.9628)
1115: (x, y) = (3.17118, -16.5506)
1116: (x, y) = (4.15988, -16.4007)
1117: (x, y) = (4.58406, -17.3063)
1118: (x, y) = (4.2835, -18.2601)
1119: (x, y) = (4.38509, -17.2652)
1120: (x, y) = (5.19927, -16.6846)
1121: (x, y) = (6.05249, -17.2062)
1122: (x, y) = (5.54994, -18.0707)
1123: (x, y) = (4.9098, -18.839)
1124: (x, y) = (3.94719, -18.5681)
1125: (x, y) = (3.34164, -17.7723)
1126: (x, y) = (3.58263, -18.7428)
1127: (x, y) = (2.96308, -17.9578)
1128: (x, y) = (3.96304, -17.9667)
1129: (x, y) = (4.51816, -18.7984)
1130: (x, y) = (3.59642, -19.1862)
1131: (x, y) = (3.22913, -20.1163)
1132: (x, y) = (2.32167, -19.6962)
1133: (x, y) = (3.19711, -19.2129)
1134: (x, y) = (3.96253, -19.8564)
1135: (x, y) = (4.20352, -20.827)
1136: (x, y) = (3.22241, -21.0204)
1137: (x, y) = (2.24305, -20.8183)
1138: (x, y) = (1.26369, -20.6162)
1139: (x, y) = (1.73534, -21.498)
1140: (x, y) = (2.34791, -22.2884)
1141: (x, y) = (2.53704, -23.2703)
1142: (x, y) = (3.18396, -22.5078)
1143: (x, y) = (3.37309, -23.4897)
1144: (x, y) = (3.51856, -22.5004)
1145: (x, y) = (2.74189, -23.1303)
1146: (x, y) = (3.66365, -23.5181)
1147: (x, y) = (4.4058, -22.8478)
1148: (x, y) = (3.53467, -23.3389)
1149: (x, y) = (4.48154, -23.6605)
1150: (x, y) = (3.6572, -23.0944)
1151: (x, y) = (3.39052, -22.1306)
1152: (x, y) = (2.59205, -22.7326)
1153: (x, y) = (1.59455, -22.6619)
1154: (x, y) = (1.0692, -21.811)
1155: (x, y) = (1.24092, -22.7962)
1156: (x, y) = (0.273669, -22.5423)
1157: (x, y) = (1.19881, -22.1627)
1158: (x, y) = (1.64685, -21.2687)
1159: (x, y) = (1.14431, -22.1332)
1160: (x, y) = (1.98816, -22.6698)
1161: (x, y) = (2.66816, -21.9366)
1162: (x, y) = (1.79703, -22.4277)
1163: (x, y) = (2.52115, -23.1173)
1164: (x, y) = (3.16132, -23.8856)
1165: (x, y) = (3.31557, -24.8736)
1166: (x, y) = (4.31557, -24.8736)
1167: (x, y) = (3.67542, -25.6419)
1168: (x, y) = (2.67734, -25.7038)
1169: (x, y) = (2.85774, -24.7202)
1170: (x, y) = (2.69475, -23.7336)
1171: (x, y) = (2.41959, -24.695)
1172: (x, y) = (3.0931, -25.4341)
1173: (x, y) = (4.01137, -25.0382)
1174: (x, y) = (4.66499, -24.2814)
1175: (x, y) = (5.60298, -23.9347)
1176: (x, y) = (5.32782, -24.8961)
1177: (x, y) = (6.16204, -24.3447)
1178: (x, y) = (5.5219, -25.1129)
1179: (x, y) = (4.58701, -25.4679)
1180: (x, y) = (5.49071, -25.896)
1181: (x, y) = (4.55899, -25.5329)
1182: (x, y) = (5.43014, -26.0239)
1183: (x, y) = (5.19775, -25.0513)
1184: (x, y) = (5.84467, -24.2887)
1185: (x, y) = (5.19773, -23.5262)
1186: (x, y) = (6.19581, -23.588)
1187: (x, y) = (5.52232, -24.3273)
1188: (x, y) = (5.83132, -23.3762)
1189: (x, y) = (6.82131, -23.235)
1190: (x, y) = (6.85225, -22.2355)
1191: (x, y) = (5.86226, -22.0944)
1192: (x, y) = (6.52918, -21.3493)
1193: (x, y) = (6.89649, -22.2794)
1194: (x, y) = (6.29094, -21.4836)
1195: (x, y) = (6.81626, -20.6326)
1196: (x, y) = (5.81818, -20.6946)
1197: (x, y) = (4.8201, -20.7565)
1198: (x, y) = (5.76978, -20.4433)
1199: (x, y) = (5.19278, -19.6265)
1200: (x, y) = (4.2745, -19.2306)
1201: (x, y) = (4.86584, -18.4242)
1202: (x, y) = (5.69517, -18.9829)
1203: (x, y) = (4.6999, -19.0801)
1204: (x, y) = (3.77144, -19.4516)
1205: (x, y) = (3.28428, -20.3249)
1206: (x, y) = (2.28444, -20.3072)
1207: (x, y) = (1.50221, -19.6842)
1208: (x, y) = (1.23554, -18.7204)
1209: (x, y) = (0.827426, -17.8075)
1210: (x, y) = (1.60411, -18.4374)
1211: (x, y) = (2.31591, -19.1398)
1212: (x, y) = (1.86783, -18.2458)
1213: (x, y) = (0.907672, -18.5252)
1214: (x, y) = (0.624039, -19.4842)
1215: (x, y) = (-0.358746, -19.2994)
1216: (x, y) = (-1.35683, -19.3613)
1217: (x, y) = (-0.689912, -18.6162)
1218: (x, y) = (-0.448923, -19.5867)
1219: (x, y) = (0.503499, -19.8915)
1220: (x, y) = (1.41824, -20.2956)
1221: (x, y) = (0.609231, -20.8833)
1222: (x, y) = (1.58288, -21.1114)
1223: (x, y) = (1.01315, -21.9332)
1224: (x, y) = (1.4533, -22.8312)
1225: (x, y) = (2.45267, -22.7958)
1226: (x, y) = (2.13527, -23.7441)
1227: (x, y) = (2.92299, -24.3601)
1228: (x, y) = (3.63478, -25.0625)
1229: (x, y) = (2.66114, -25.2906)
1230: (x, y) = (3.01194, -26.227)
1231: (x, y) = (2.71137, -27.1808)
1232: (x, y) = (1.71701, -27.0748)
1233: (x, y) = (1.51055, -28.0532)
1234: (x, y) = (2.49645, -27.8859)
1235: (x, y) = (3.49394, -27.8151)
1236: (x, y) = (2.61848, -27.3318)
1237: (x, y) = (3.44781, -27.8906)
1238: (x, y) = (2.88536, -27.0638)
1239: (x, y) = (2.25201, -26.2899)
1240: (x, y) = (1.28941, -26.019)
1241: (x, y) = (1.10898, -25.0354)
1242: (x, y) = (2.10237, -25.1502)
1243: (x, y) = (1.23124, -25.6412)
1244: (x, y) = (2.15299, -26.029)
1245: (x, y) = (1.22453, -26.4005)
1246: (x, y) = (2.11251, -26.8603)
1247: (x, y) = (2.68226, -27.6822)
1248: (x, y) = (3.67662, -27.5761)
1249: (x, y) = (4.49593, -28.1495)
1250: (x, y) = (3.53827, -28.4374)
1251: (x, y) = (2.91873, -27.6524)
1252: (x, y) = (2.55965, -26.7191)
1253: (x, y) = (3.05453, -25.8502)
1254: (x, y) = (3.57985, -24.9993)
1255: (x, y) = (4.4466, -24.5005)
1256: (x, y) = (3.51488, -24.1373)
1257: (x, y) = (3.92296, -23.2244)
1258: (x, y) = (3.13526, -23.8405)
1259: (x, y) = (2.20037, -24.1954)
1260: (x, y) = (2.98809, -24.8114)
1261: (x, y) = (3.89921, -24.3993)
1262: (x, y) = (3.82407, -25.3965)
1263: (x, y) = (4.69951, -24.9132)
1264: (x, y) = (4.73934, -25.9124)
1265: (x, y) = (3.73949, -25.8947)
1266: (x, y) = (4.48165, -25.2245)
1267: (x, y) = (5.38151, -24.7883)
1268: (x, y) = (6.14693, -25.4318)
1269: (x, y) = (6.88908, -24.7616)
1270: (x, y) = (5.89225, -24.8412)
1271: (x, y) = (5.63415, -25.8073)
1272: (x, y) = (6.48271, -25.2782)
1273: (x, y) = (6.7579, -26.2396)
1274: (x, y) = (5.78631, -26.0029)
1275: (x, y) = (4.79104, -26.1001)
1276: (x, y) = (3.85304, -25.7535)
1277: (x, y) = (3.19274, -26.5045)
1278: (x, y) = (2.69784, -25.6356)
1279: (x, y) = (2.61385, -24.6391)
1280: (x, y) = (3.04601, -23.7373)
1281: (x, y) = (2.71187, -24.6798)
1282: (x, y) = (1.85866, -25.2014)
1283: (x, y) = (2.85725, -25.1483)
1284: (x, y) = (2.09186, -25.7919)
1285: (x, y) = (2.59443, -26.6564)
1286: (x, y) = (3.46987, -26.1731)
1287: (x, y) = (3.2032, -25.2093)
1288: (x, y) = (4.17479, -24.9726)
1289: (x, y) = (5.10326, -25.344)
1290: (x, y) = (4.71956, -26.2675)
1291: (x, y) = (3.74203, -26.4783)
1292: (x, y) = (3.00584, -27.1551)
1293: (x, y) = (2.14804, -26.6411)
1294: (x, y) = (2.25845, -27.635)
1295: (x, y) = (1.94943, -26.6839)
1296: (x, y) = (1.60694, -25.7444)
1297: (x, y) = (0.662943, -25.4144)
1298: (x, y) = (1.66232, -25.379)
1299: (x, y) = (2.57706, -25.7831)
1300: (x, y) = (2.80942, -24.8104)
1301: (x, y) = (3.19314, -25.7339)
1302: (x, y) = (2.25212, -26.0722)
1303: (x, y) = (2.06302, -27.0542)
1304: (x, y) = (2.14698, -26.0577)
1305: (x, y) = (1.35928, -26.6738)
1306: (x, y) = (1.59164, -25.7011)
1307: (x, y) = (0.782631, -26.2889)
1308: (x, y) = (1.54804, -26.9325)
1309: (x, y) = (0.578593, -27.1778)
1310: (x, y) = (0.994712, -26.2685)
1311: (x, y) = (1.76013, -26.912)
1312: (x, y) = (0.779021, -27.1055)
1313: (x, y) = (1.72006, -27.4438)
1314: (x, y) = (2.61604, -27.8879)
1315: (x, y) = (2.68235, -26.8901)
1316: (x, y) = (2.97446, -25.9337)
1317: (x, y) = (2.88168, -26.9294)
1318: (x, y) = (3.28976, -26.0164)
1319: (x, y) = (4.18575, -26.4605)
1320: (x, y) = (4.199, -25.4606)
1321: (x, y) = (3.76682, -24.5588)
1322: (x, y) = (4.72699, -24.8382)
1323: (x, y) = (4.66952, -25.8366)
1324: (x, y) = (4.76232, -26.8322)
1325: (x, y) = (3.8213, -27.1706)
1326: (x, y) = (4.5752, -26.5136)
1327: (x, y) = (4.32563, -25.5452)
1328: (x, y) = (4.13653, -26.5272)
1329: (x, y) = (3.74464, -25.6072)
1330: (x, y) = (2.93563, -26.195)
1331: (x, y) = (2.2687, -25.4499)
1332: (x, y) = (1.64225, -26.2293)
1333: (x, y) = (2.1139, -27.1111)
1334: (x, y) = (3.00591, -26.6591)
1335: (x, y) = (3.93762, -26.2959)
1336: (x, y) = (4.39359, -27.1859)
1337: (x, y) = (5.38592, -27.0623)
1338: (x, y) = (4.44489, -27.4006)
1339: (x, y) = (3.7846, -28.1516)
1340: (x, y) = (4.7705, -27.9843)
1341: (x, y) = (4.66011, -28.9781)
1342: (x, y) = (4.21999, -29.8761)
1343: (x, y) = (5.112, -29.4241)
1344: (x, y) = (5.9917, -29.8996)
1345: (x, y) = (5.11201, -30.3751)
1346: (x, y) = (5.77233, -31.1261)
1347: (x, y) = (6.10649, -32.0686)
1348: (x, y) = (6.21691, -33.0625)
1349: (x, y) = (7.20924, -32.9389)
1350: (x, y) = (6.64679, -32.1121)
1351: (x, y) = (6.02725, -31.3271)
1352: (x, y) = (6.60422, -30.5104)
1353: (x, y) = (7.07588, -31.3922)
1354: (x, y) = (6.8092, -30.4284)
1355: (x, y) = (7.63853, -30.9871)
1356: (x, y) = (8.23701, -31.7883)
1357: (x, y) = (8.10025, -30.7977)
1358: (x, y) = (8.21066, -31.7915)
1359: (x, y) = (7.28552, -31.4119)
1360: (x, y) = (6.28693, -31.3589)
1361: (x, y) = (7.14015, -31.8804)
1362: (x, y) = (7.27688, -30.8898)
1363: (x, y) = (6.2835, -31.0046)
1364: (x, y) = (5.99986, -31.9636)
1365: (x, y) = (5.05299, -32.2852)
1366: (x, y) = (4.969, -31.2887)
1367: (x, y) = (5.85287, -30.821)
1368: (x, y) = (6.85271, -30.8033)
1369: (x, y) = (6.99818, -29.8139)
1370: (x, y) = (6.14038, -29.2999)
1371: (x, y) = (5.74039, -30.2165)
1372: (x, y) = (6.00704, -29.2527)
1373: (x, y) = (5.09591, -28.8406)
1374: (x, y) = (4.57814, -29.6961)
1375: (x, y) = (4.53835, -30.6953)
1376: (x, y) = (5.2376, -31.4102)
1377: (x, y) = (6.14871, -30.998)
1378: (x, y) = (5.42462, -31.6877)
1379: (x, y) = (4.69442, -31.0045)
1380: (x, y) = (3.70104, -31.1193)
1381: (x, y) = (2.74087, -31.3987)
1382: (x, y) = (2.01678, -32.0884)
1383: (x, y) = (3.00548, -31.9386)
1384: (x, y) = (2.13871, -31.4398)
1385: (x, y) = (2.79234, -30.683)
1386: (x, y) = (1.79269, -30.7096)
1387: (x, y) = (2.74511, -31.0143)
1388: (x, y) = (3.56442, -31.5877)
1389: (x, y) = (2.62953, -31.9426)
1390: (x, y) = (3.57056, -32.281)
1391: (x, y) = (2.82839, -31.6107)
1392: (x, y) = (2.01419, -31.0302)
1393: (x, y) = (1.38774, -31.8096)
1394: (x, y) = (2.14165, -31.1526)
1395: (x, y) = (2.7114, -31.9745)
1396: (x, y) = (2.85687, -30.9851)
1397: (x, y) = (2.6073, -30.0167)
1398: (x, y) = (2.2899, -30.965)
1399: (x, y) = (2.23243, -31.9634)
1400: (x, y) = (2.3779, -30.974)
1401: (x, y) = (3.20223, -30.4079)
1402: (x, y) = (2.30235, -29.9718)
1403: (x, y) = (1.3772, -29.5922)
1404: (x, y) = (1.728, -30.5286)
1405: (x, y) = (2.71799, -30.3875)
1406: (x, y) = (2.318, -31.304)
1407: (x, y) = (2.45474, -30.3134)
1408: (x, y) = (1.56272, -29.8614)
1409: (x, y) = (2.54383, -30.0548)
1410: (x, y) = (3.12081, -29.2381)
1411: (x, y) = (2.83717, -30.197)
1412: (x, y) = (3.83467, -30.1262)
1413: (x, y) = (3.39455, -31.0242)
1414: (x, y) = (2.39471, -31.0065)
1415: (x, y) = (1.59623, -31.6085)
1416: (x, y) = (0.607521, -31.4587)
1417: (x, y) = (-0.272167, -31.9342)
1418: (x, y) = (-0.109206, -30.9476)
1419: (x, y) = (-0.8394, -30.2644)
1420: (x, y) = (-1.81876, -30.0622)
1421: (x, y) = (-0.849302, -30.3075)
1422: (x, y) = (-0.0896334, -29.6572)
1423: (x, y) = (-0.951937, -30.1636)
1424: (x, y) = (-1.59888, -29.401)
1425: (x, y) = (-0.710897, -29.8609)
1426: (x, y) = (-0.26285, -28.9669)
1427: (x, y) = (0.262472, -28.116)
1428: (x, y) = (0.10825, -29.104)
1429: (x, y) = (0.572053, -28.2181)
1430: (x, y) = (0.726304, -29.2061)
1431: (x, y) = (1.72595, -29.2326)
1432: (x, y) = (0.804213, -29.6205)
1433: (x, y) = (1.73592, -29.2573)
1434: (x, y) = (1.74917, -28.2573)
1435: (x, y) = (0.940161, -28.8451)
1436: (x, y) = (0.829774, -29.839)
1437: (x, y) = (0.887276, -30.8374)
1438: (x, y) = (0.392378, -29.9684)
1439: (x, y) = (-0.140455, -30.8146)
1440: (x, y) = (-0.294677, -31.8027)
1441: (x, y) = (0.137474, -30.9009)
1442: (x, y) = (-0.861901, -30.8655)
1443: (x, y) = (-0.561308, -31.8193)
1444: (x, y) = (-1.55657, -31.9165)
1445: (x, y) = (-1.67578, -30.9236)
1446: (x, y) = (-1.9848, -29.9726)
1447: (x, y) = (-2.87682, -29.5206)
1448: (x, y) = (-2.20332, -30.2597)
1449: (x, y) = (-2.78032, -29.443)
1450: (x, y) = (-2.94331, -28.4564)
1451: (x, y) = (-1.96053, -28.2716)
1452: (x, y) = (-1.02253, -27.9249)
1453: (x, y) = (-0.081498, -28.2632)
1454: (x, y) = (0.252667, -29.2058)
1455: (x, y) = (-0.00543422, -30.1719)
1456: (x, y) = (-0.776514, -29.5351)
1457: (x, y) = (-0.833987, -30.5335)
1458: (x, y) = (-1.79415, -30.8129)
1459: (x, y) = (-1.16768, -31.5924)
1460: (x, y) = (-0.186569, -31.7858)
1461: (x, y) = (-0.946257, -31.1355)
1462: (x, y) = (-0.405955, -30.2941)
1463: (x, y) = (0.220513, -31.0735)
1464: (x, y) = (0.339693, -30.0806)
1465: (x, y) = (-0.499378, -30.6247)
1466: (x, y) = (-0.565715, -29.6269)
1467: (x, y) = (-0.840879, -30.5883)
1468: (x, y) = (-1.08184, -31.5588)
1469: (x, y) = (-0.44167, -32.327)
1470: (x, y) = (-1.22937, -32.9431)
1471: (x, y) = (-1.46175, -31.9705)
1472: (x, y) = (-2.23283, -31.3337)
1473: (x, y) = (-1.59267, -32.102)
1474: (x, y) = (-2.39646, -31.5071)
1475: (x, y) = (-1.50048, -31.9511)
1476: (x, y) = (-0.638158, -32.4575)
1477: (x, y) = (-1.62406, -32.2902)
1478: (x, y) = (-1.16026, -31.4042)
1479: (x, y) = (-1.10275, -32.4026)
